nohup: ignoring input
/scratch/guerbuez/miniconda3/lib/python3.11/site-packages/torchmetrics/utilities/prints.py:43: UserWarning: The variance of predictions or target is close to zero. This can cause instability in Pearson correlationcoefficient, leading to wrong results. Consider re-scaling the input if possible or computing using alarger dtype (currently using torch.float32).
  warnings.warn(*args, **kwargs)  # noqa: B028
Epoch [1/100], Batch [1/147] train loss: 976.45, train corr: -0.00069
Epoch [1/100], Batch [2/147] train loss: 12910.44, train corr: 0.00023
Epoch [1/100], Batch [3/147] train loss: 338219.88, train corr: 0.01587
Epoch [1/100], Batch [4/147] train loss: 14083.61, train corr: 0.00157
Epoch [1/100], Batch [5/147] train loss: 10008.42, train corr: 0.01299
Epoch [1/100], Batch [6/147] train loss: 9204.53, train corr: 0.00834
Epoch [1/100], Batch [7/147] train loss: 2291.13, train corr: -0.02972
Epoch [1/100], Batch [8/147] train loss: 2100.16, train corr: -0.01594
Epoch [1/100], Batch [9/147] train loss: 2560.32, train corr: -0.00084
Epoch [1/100], Batch [10/147] train loss: 1506.96, train corr: 0.00658
Epoch [1/100], Batch [11/147] train loss: 2773.40, train corr: -0.00012
Epoch [1/100], Batch [12/147] train loss: 4033.38, train corr: -0.01640
Epoch [1/100], Batch [13/147] train loss: 1341.00, train corr: 0.00446
Epoch [1/100], Batch [14/147] train loss: 3602.11, train corr: 0.01069
Epoch [1/100], Batch [15/147] train loss: 1171.62, train corr: -0.01410
Epoch [1/100], Batch [16/147] train loss: 7509.96, train corr: -0.00459
Epoch [1/100], Batch [17/147] train loss: 2512.83, train corr: 0.00334
Epoch [1/100], Batch [18/147] train loss: 8659.37, train corr: 0.00317
Epoch [1/100], Batch [19/147] train loss: 1724.63, train corr: -0.02463
Epoch [1/100], Batch [20/147] train loss: 8686.55, train corr: 0.01429
Epoch [1/100], Batch [21/147] train loss: 3218.27, train corr: 0.00419
Epoch [1/100], Batch [22/147] train loss: 3371.87, train corr: -0.00005
Epoch [1/100], Batch [23/147] train loss: 3796.91, train corr: -0.02845
Epoch [1/100], Batch [24/147] train loss: 3383.16, train corr: -0.01696
Epoch [1/100], Batch [25/147] train loss: 1725.63, train corr: -0.02667
Epoch [1/100], Batch [26/147] train loss: 5788.98, train corr: 0.02606
Epoch [1/100], Batch [27/147] train loss: 2720.30, train corr: -0.02843
Epoch [1/100], Batch [28/147] train loss: 2403.92, train corr: 0.01498
Epoch [1/100], Batch [29/147] train loss: 3927.33, train corr: 0.00006
Epoch [1/100], Batch [30/147] train loss: 17882.30, train corr: 0.02414
Epoch [1/100], Batch [31/147] train loss: 6161.39, train corr: 0.02173
Epoch [1/100], Batch [32/147] train loss: 2909.31, train corr: 0.01735
Epoch [1/100], Batch [33/147] train loss: 21070.32, train corr: 0.02447
Epoch [1/100], Batch [34/147] train loss: 3676.39, train corr: -0.00917
Epoch [1/100], Batch [35/147] train loss: 1879.34, train corr: 0.01638
Epoch [1/100], Batch [36/147] train loss: 1714.86, train corr: -0.03001
Epoch [1/100], Batch [37/147] train loss: 6887.88, train corr: -0.02331
Epoch [1/100], Batch [38/147] train loss: 5948.60, train corr: -0.01045
Epoch [1/100], Batch [39/147] train loss: 1182.53, train corr: -0.02199
Epoch [1/100], Batch [40/147] train loss: 1488.77, train corr: 0.01725
Epoch [1/100], Batch [41/147] train loss: 2464.85, train corr: -0.00629
Epoch [1/100], Batch [42/147] train loss: 5579.12, train corr: -0.02910
Epoch [1/100], Batch [43/147] train loss: 2523.37, train corr: -0.03193
Epoch [1/100], Batch [44/147] train loss: 3548.20, train corr: -0.00956
Epoch [1/100], Batch [45/147] train loss: 4484.28, train corr: 0.00883
Epoch [1/100], Batch [46/147] train loss: 3763.86, train corr: -0.01655
Epoch [1/100], Batch [47/147] train loss: 2996.32, train corr: -0.00405
Epoch [1/100], Batch [48/147] train loss: 2079.06, train corr: 0.00120
Epoch [1/100], Batch [49/147] train loss: 2323.40, train corr: 0.02137
Epoch [1/100], Batch [50/147] train loss: 5764.98, train corr: 0.00172
Epoch [1/100], Batch [51/147] train loss: 4088.17, train corr: -0.01145
Epoch [1/100], Batch [52/147] train loss: 4521.96, train corr: 0.00583
Epoch [1/100], Batch [53/147] train loss: 4415.19, train corr: -0.00251
Epoch [1/100], Batch [54/147] train loss: 6548.13, train corr: 0.02456
Epoch [1/100], Batch [55/147] train loss: 6163.70, train corr: 0.01882
Epoch [1/100], Batch [56/147] train loss: 4096.28, train corr: 0.00067
Epoch [1/100], Batch [57/147] train loss: 5108.80, train corr: -0.02997
Epoch [1/100], Batch [58/147] train loss: 3515.89, train corr: 0.02940
Epoch [1/100], Batch [59/147] train loss: 2322.51, train corr: 0.00953
Epoch [1/100], Batch [60/147] train loss: 1401.11, train corr: 0.00025
Epoch [1/100], Batch [61/147] train loss: 2741.37, train corr: 0.02451
Epoch [1/100], Batch [62/147] train loss: 8464.32, train corr: 0.02744
Epoch [1/100], Batch [63/147] train loss: 3487.11, train corr: 0.00281
Epoch [1/100], Batch [64/147] train loss: 4576.17, train corr: -0.02597
Epoch [1/100], Batch [65/147] train loss: 3263.66, train corr: 0.00337
Epoch [1/100], Batch [66/147] train loss: 3243.06, train corr: -0.01380
Epoch [1/100], Batch [67/147] train loss: 2693.72, train corr: 0.00612
Epoch [1/100], Batch [68/147] train loss: 3080.28, train corr: 0.01556
Epoch [1/100], Batch [69/147] train loss: 1778.76, train corr: -0.00953
Epoch [1/100], Batch [70/147] train loss: 2587.64, train corr: -0.03154
Epoch [1/100], Batch [71/147] train loss: 3281.05, train corr: -0.02578
Epoch [1/100], Batch [72/147] train loss: 2914.03, train corr: -0.02477
Epoch [1/100], Batch [73/147] train loss: 1827.07, train corr: 0.00052
Epoch [1/100], Batch [74/147] train loss: 1490.22, train corr: -0.00666
Epoch [1/100], Batch [75/147] train loss: 1806.35, train corr: -0.00150
Epoch [1/100], Batch [76/147] train loss: 1388.66, train corr: 0.01031
Epoch [1/100], Batch [77/147] train loss: 2296.10, train corr: 0.00767
Epoch [1/100], Batch [78/147] train loss: 1584.73, train corr: -0.01772
Epoch [1/100], Batch [79/147] train loss: 1550.45, train corr: -0.00978
Epoch [1/100], Batch [80/147] train loss: 2141.87, train corr: 0.01632
Epoch [1/100], Batch [81/147] train loss: 1472.29, train corr: -0.00229
Epoch [1/100], Batch [82/147] train loss: 1578.79, train corr: 0.02684
Epoch [1/100], Batch [83/147] train loss: 1221.00, train corr: 0.02479
Epoch [1/100], Batch [84/147] train loss: 1722.61, train corr: -0.01534
Epoch [1/100], Batch [85/147] train loss: 1828.00, train corr: 0.00354
Epoch [1/100], Batch [86/147] train loss: 1693.80, train corr: 0.02585
Epoch [1/100], Batch [87/147] train loss: 1147.09, train corr: -0.00983
Epoch [1/100], Batch [88/147] train loss: 2439.52, train corr: -0.00482
Epoch [1/100], Batch [89/147] train loss: 1375.08, train corr: -0.03067
Epoch [1/100], Batch [90/147] train loss: 1059.04, train corr: -0.01929
Epoch [1/100], Batch [91/147] train loss: 1043.17, train corr: -0.00451
Epoch [1/100], Batch [92/147] train loss: 966.30, train corr: 0.01485
Epoch [1/100], Batch [93/147] train loss: 1895.85, train corr: -0.02425
Epoch [1/100], Batch [94/147] train loss: 1145.40, train corr: 0.00398
Epoch [1/100], Batch [95/147] train loss: 1202.11, train corr: 0.00836
Epoch [1/100], Batch [96/147] train loss: 1127.61, train corr: -0.00039
Epoch [1/100], Batch [97/147] train loss: 1138.59, train corr: 0.01363
Epoch [1/100], Batch [98/147] train loss: 1016.43, train corr: 0.03060
Epoch [1/100], Batch [99/147] train loss: 924.22, train corr: 0.03009
Epoch [1/100], Batch [100/147] train loss: 904.34, train corr: 0.03169
Epoch [1/100], Batch [101/147] train loss: 996.90, train corr: 0.01974
Epoch [1/100], Batch [102/147] train loss: 1037.75, train corr: 0.02037
Epoch [1/100], Batch [103/147] train loss: 972.57, train corr: 0.02488
Epoch [1/100], Batch [104/147] train loss: 727.43, train corr: -0.01516
Epoch [1/100], Batch [105/147] train loss: 735.48, train corr: 0.00352
Epoch [1/100], Batch [106/147] train loss: 765.22, train corr: 0.01452
Epoch [1/100], Batch [107/147] train loss: 677.97, train corr: -0.00013
Epoch [1/100], Batch [108/147] train loss: 968.51, train corr: 0.00664
Epoch [1/100], Batch [109/147] train loss: 916.81, train corr: 0.00011
Epoch [1/100], Batch [110/147] train loss: 675.54, train corr: -0.00762
Epoch [1/100], Batch [111/147] train loss: 738.78, train corr: 0.02012
Epoch [1/100], Batch [112/147] train loss: 755.06, train corr: 0.00589
Epoch [1/100], Batch [113/147] train loss: 796.20, train corr: -0.02439
Epoch [1/100], Batch [114/147] train loss: 743.52, train corr: -0.00280
Epoch [1/100], Batch [115/147] train loss: 692.78, train corr: 0.01137
Epoch [1/100], Batch [116/147] train loss: 675.17, train corr: 0.00987
Epoch [1/100], Batch [117/147] train loss: 673.57, train corr: -0.01832
Epoch [1/100], Batch [118/147] train loss: 637.72, train corr: 0.01232
Epoch [1/100], Batch [119/147] train loss: 631.51, train corr: -0.01536
Epoch [1/100], Batch [120/147] train loss: 656.53, train corr: -0.00272
Epoch [1/100], Batch [121/147] train loss: 614.95, train corr: 0.01565
Epoch [1/100], Batch [122/147] train loss: 651.71, train corr: -0.00671
Epoch [1/100], Batch [123/147] train loss: 611.03, train corr: 0.01078
Epoch [1/100], Batch [124/147] train loss: 801.80, train corr: 0.00943
Epoch [1/100], Batch [125/147] train loss: 632.44, train corr: -0.01389
Epoch [1/100], Batch [126/147] train loss: 627.13, train corr: -0.01613
Epoch [1/100], Batch [127/147] train loss: 642.90, train corr: -0.02933
Epoch [1/100], Batch [128/147] train loss: 677.50, train corr: 0.02422
Epoch [1/100], Batch [129/147] train loss: 643.66, train corr: -0.02228
Epoch [1/100], Batch [130/147] train loss: 669.47, train corr: 0.01500
Epoch [1/100], Batch [131/147] train loss: 638.97, train corr: -0.00874
Epoch [1/100], Batch [132/147] train loss: 729.71, train corr: 0.02350
Epoch [1/100], Batch [133/147] train loss: 656.76, train corr: 0.01579
Epoch [1/100], Batch [134/147] train loss: 648.90, train corr: 0.03418
Epoch [1/100], Batch [135/147] train loss: 613.71, train corr: 0.01631
Epoch [1/100], Batch [136/147] train loss: 636.67, train corr: 0.02388
Epoch [1/100], Batch [137/147] train loss: 625.28, train corr: -0.01873
Epoch [1/100], Batch [138/147] train loss: 595.59, train corr: -0.02383
Epoch [1/100], Batch [139/147] train loss: 600.86, train corr: -0.01404
Epoch [1/100], Batch [140/147] train loss: 709.70, train corr: -0.01502
Epoch [1/100], Batch [141/147] train loss: 620.88, train corr: -0.03438
Epoch [1/100], Batch [142/147] train loss: 589.87, train corr: 0.00047
Epoch [1/100], Batch [143/147] train loss: 626.90, train corr: 0.00963
Epoch [1/100], Batch [144/147] train loss: 609.31, train corr: 0.01788
Epoch [1/100], Batch [145/147] train loss: 599.47, train corr: -0.02409
Epoch [1/100], Batch [146/147] train loss: 595.67, train corr: -0.02895
Epoch [1/100], Batch [147/147] train loss: 583.96, train corr: 0.00336
Epoch [1/100], validation loss: 620.64, validation correlation: -0.02894
Epoch [2/100], Batch [1/147] train loss: 603.05, train corr: -0.02543
Epoch [2/100], Batch [2/147] train loss: 593.10, train corr: -0.02754
Epoch [2/100], Batch [3/147] train loss: 579.60, train corr: -0.03065
Epoch [2/100], Batch [4/147] train loss: 609.59, train corr: -0.02192
Epoch [2/100], Batch [5/147] train loss: 574.52, train corr: -0.02967
Epoch [2/100], Batch [6/147] train loss: 577.90, train corr: -0.02812
Epoch [2/100], Batch [7/147] train loss: 576.26, train corr: -0.03106
Epoch [2/100], Batch [8/147] train loss: 590.65, train corr: -0.03004
Epoch [2/100], Batch [9/147] train loss: 589.81, train corr: -0.02614
Epoch [2/100], Batch [10/147] train loss: 590.33, train corr: -0.02970
Epoch [2/100], Batch [11/147] train loss: 575.81, train corr: -0.02793
Epoch [2/100], Batch [12/147] train loss: 601.89, train corr: -0.02374
Epoch [2/100], Batch [13/147] train loss: 573.29, train corr: -0.02886
